Contract_ID,Outstanding Amount_max,Outstanding Amount_mean,Outstanding Amount_last,Due Amount_max,Due Amount_mean,Number of Days Past Due_max,Number of Days Past Due_mean,Number of Days Past Due_count,Contract Status_<lambda>
CONT102623,12186.17,9637.150714285714,6420.38,393.53,67.23535714285715,5.0,0.8214285714285714,28,Active
CONT102624,10388.23,9377.56909090909,7945.67,0.0,0.0,0.0,0.0,11,Active
CONT102625,20614.4,19259.964545454543,17877.23,0.0,0.0,0.0,0.0,11,Active
CONT102626,2428.35,1672.6631578947367,634.14,0.0,0.0,0.0,0.0,19,Active
CONT102627,9730.08,8695.962222222222,8533.69,8099.34,3089.9507407407405,611.0,221.96296296296296,27,NonAccrual
CONT102628,21882.06,18155.212173913045,14608.16,0.0,0.0,0.0,0.0,23,Active
CONT102629,14810.08,14161.097777777777,14030.46,5042.58,1805.4722222222222,370.0,124.44444444444444,18,NonAccrual
CONT102630,50513.48,47472.60466666667,46104.03,1266.85,258.18466666666666,4.0,1.2666666666666666,15,Active
CONT102631,31326.31,25819.647777777776,21258.94,2040.7,195.49185185185186,37.0,2.4074074074074074,27,Active
CONT102632,8613.62,7689.203333333333,7572.08,5558.45,2084.4152380952382,460.0,162.71428571428572,21,NonAccrual
CONT102633,11576.86,9031.666428571429,5909.8,357.82,42.13428571428572,7.0,1.1785714285714286,28,Active
CONT102634,71113.08,62665.67142857143,52886.75,1703.49,829.8061904761905,15.0,1.5238095238095237,21,Active
CONT102635,13435.87,10850.685555555556,7481.29,0.0,0.0,0.0,0.0,27,Active
CONT102636,16648.68,13009.468888888889,8684.5,0.0,0.0,0.0,0.0,27,Active
CONT102637,24469.52,24009.86666666667,23554.14,0.0,0.0,0.0,0.0,6,Active
CONT102638,8573.58,6345.535,0.0,0.0,0.0,0.0,0.0,4,Closed
CONT102639,11239.84,9667.188,8131.65,801.48,78.3216,63.0,3.92,25,Active
CONT102640,11824.27,9898.133703703703,7693.25,678.03,209.93703703703704,36.0,8.666666666666666,27,Active
CONT102641,21902.39,19933.013703703702,19662.04,18423.7,7257.336666666666,645.0,247.4814814814815,27,NonAccrual
CONT102642,12243.0,10410.09052631579,0.0,245.39,12.915263157894737,2.0,0.10526315789473684,19,Closed
CONT102643,12292.36,12229.05,12165.74,0.0,0.0,0.0,0.0,2,Active
CONT102644,5950.86,3479.945416666667,0.0,332.61,84.67458333333333,4.0,1.625,24,Closed
CONT102645,38699.11,35526.08,32319.7,0.0,0.0,0.0,0.0,18,Active
CONT102646,9038.99,7480.657857142857,6177.54,2214.77,587.3503571428571,223.0,45.214285714285715,28,NonAccrual
CONT102647,23157.51,18267.299642857142,12697.37,747.41,26.693214285714284,14.0,0.5,28,Active
CONT102648,6156.34,4595.651176470588,0.0,965.16,538.2311764705883,79.0,34.64705882352941,17,Closed
CONT102649,87113.48,82336.350625,77072.08,0.0,0.0,0.0,0.0,16,Active
CONT102650,7373.27,5828.505357142857,3880.77,140.61,24.925357142857145,2.0,0.39285714285714285,28,Active
CONT102651,11492.9,10617.233157894736,9308.23,0.0,0.0,0.0,0.0,19,Active
CONT102652,64177.02,58508.87333333333,52336.6,0.0,0.0,0.0,0.0,15,Active
CONT102653,10680.12,9268.44,0.0,0.0,0.0,0.0,0.0,15,Closed
CONT102654,7375.29,5689.6832,4285.39,2015.99,666.632,215.0,66.76,25,NonAccrual
CONT102655,11115.69,9229.186666666666,7161.55,0.0,0.0,0.0,0.0,15,Active
CONT102656,48247.53,39925.04238095238,0.0,1560.02,147.31666666666666,30.0,1.7619047619047619,21,Closed
CONT102657,18942.37,14790.2,0.0,624.38,124.876,1.0,0.2,5,Closed
CONT102658,12400.59,11919.212222222222,11458.29,0.0,0.0,0.0,0.0,9,Active
CONT102659,7283.21,5853.3535999999995,4089.14,0.0,0.0,0.0,0.0,25,Active
CONT102660,63621.83,55975.9575,0.0,0.0,0.0,0.0,0.0,12,Closed
CONT102661,18585.58,16294.32411764706,14247.69,963.92,82.00411764705882,56.0,4.764705882352941,17,Active
CONT102662,12171.16,10480.47,0.0,398.5,185.53,32.0,3.4166666666666665,12,Closed
CONT102663,14765.72,12409.641,0.0,0.0,0.0,0.0,0.0,10,Closed
CONT102664,26813.69,22247.840714285714,0.0,751.56,127.72535714285713,2.0,0.2857142857142857,28,Closed
CONT102665,13249.99,13085.781428571428,13073.15,11165.56,4982.384642857142,784.0,352.42857142857144,28,NonAccrual
CONT102666,9810.74,7616.152142857143,6150.93,1919.77,460.4271428571428,113.0,32.92857142857143,14,NonAccrual
CONT102667,5854.68,4282.642727272727,0.0,0.0,0.0,0.0,0.0,11,Closed
CONT102668,2590.32,1261.1442857142858,0.0,238.83,34.11857142857143,36.0,2.9285714285714284,14,Closed
CONT102669,16961.62,14374.618799999998,11377.09,413.9,17.9552,2.0,0.12,25,Active
CONT102670,61726.85,54291.35999999999,49471.02,2608.04,280.0295454545454,40.0,3.1363636363636362,22,Active
CONT102671,17247.9,16492.264615384614,15960.75,0.0,0.0,0.0,0.0,13,Active
CONT102672,5055.66,2758.746923076923,0.0,1210.25,209.05615384615385,143.0,24.423076923076923,26,Closed
CONT102673,26771.91,23158.76,0.0,17.84,1.4866666666666666,1.0,0.08333333333333333,12,Closed
CONT102674,39655.99,37294.193529411765,34609.03,809.54,93.3229411764706,2.0,0.17647058823529413,17,Active
CONT102675,6412.71,5078.9193749999995,4168.53,0.0,0.0,0.0,0.0,16,Active
CONT102676,5116.83,3592.207142857143,1655.66,212.43,69.6875,12.0,0.9285714285714286,28,Active
CONT102677,3827.39,2939.085,0.0,274.79,81.28,2.0,0.5,10,Closed
CONT102678,5703.82,5173.342,4642.53,0.0,0.0,0.0,0.0,10,Active
CONT102679,18438.22,15037.031111111111,11900.56,0.0,0.0,0.0,0.0,18,Active
CONT102680,14623.4,11616.255925925925,7980.87,476.44,35.29185185185185,3.0,0.18518518518518517,27,Active
CONT102681,12281.59,12007.376666666669,11733.67,0.0,0.0,0.0,0.0,3,Active
CONT102682,14769.99,11952.779166666667,8544.99,422.95,107.05499999999999,1.0,0.3333333333333333,24,Active
CONT102683,15511.11,14966.638333333334,14408.93,0.0,0.0,0.0,0.0,6,Active
CONT102684,18288.39,16705.044666666665,14651.89,1032.22,229.69933333333333,45.0,13.0,15,Active
CONT102685,8610.18,8066.515714285714,7709.8,143.56,20.50857142857143,1.0,0.14285714285714285,7,Active
CONT102686,29725.11,27932.949333333334,26129.61,695.73,129.11933333333334,16.0,1.5333333333333334,15,Active
CONT102687,20907.39,16680.185925925925,11473.6,676.13,25.041851851851852,21.0,0.7777777777777778,27,Active
CONT102688,10739.39,8097.588148148148,6368.53,3773.32,685.8403703703704,272.0,48.629629629629626,27,NonAccrual
CONT102689,4680.49,3857.1076470588237,0.0,0.0,0.0,0.0,0.0,17,Closed
CONT102690,11904.43,8739.973913043477,4583.28,460.56,41.55652173913043,2.0,0.21739130434782608,23,Active
CONT102691,15009.99,11903.952,8306.0,450.27,18.0108,30.0,1.2,25,Active
CONT102692,84046.57,82949.47833333333,82582.58,5038.19,1619.965,63.0,16.0,6,Active
CONT102693,11034.44,9606.946785714286,7755.62,1939.13,404.43142857142857,143.0,31.892857142857142,28,NonAccrual
CONT102694,24376.32,18959.95857142857,12424.71,715.17,25.541785714285712,5.0,0.17857142857142858,28,Active
CONT102695,6178.55,3207.1158333333333,520.35,520.35,43.362500000000004,13.0,1.0833333333333333,12,Active
CONT102696,18512.97,17665.420000000002,16821.48,0.0,0.0,0.0,0.0,10,Active
CONT102697,11424.34,8070.652857142857,4596.98,659.46,140.06,34.0,1.9285714285714286,28,Active
CONT102698,1074.63,879.25,683.87,0.0,0.0,0.0,0.0,5,Active
CONT102699,12319.46,12319.46,12319.46,0.0,0.0,0.0,0.0,1,Active
CONT102700,19693.32,18035.882307692307,16462.67,0.0,0.0,0.0,0.0,13,Active
CONT102701,29042.53,24660.906296296296,19283.94,758.73,129.11962962962963,5.0,0.8148148148148148,27,Active
CONT102702,12048.04,6812.183333333333,297.49,616.83,171.65416666666667,7.0,2.75,24,Active
CONT102703,14743.54,11884.25,8595.15,0.0,0.0,0.0,0.0,19,Active
CONT102704,23862.84,21669.80375,19143.82,567.81,103.48625,2.0,0.375,16,Active
CONT102705,41814.23,31551.616666666665,19480.96,1015.9,48.37619047619047,1.0,0.047619047619047616,21,Active
CONT102706,9653.08,7792.929642857142,5210.34,118.34,5.511785714285715,9.0,0.6071428571428571,28,Active
CONT102707,11922.56,9753.0644,6855.05,0.0,0.0,0.0,0.0,25,Active
CONT102708,10259.23,7767.228214285714,6121.41,4078.8,889.7685714285715,276.0,52.107142857142854,28,NonAccrual
CONT102709,12306.21,10658.506363636365,8803.45,0.0,0.0,0.0,0.0,22,Active
CONT102710,29210.79,23314.35,16055.03,544.57,20.16925925925926,23.0,0.8518518518518519,27,Active
CONT102711,3882.32,2311.106818181818,379.95,0.0,0.0,0.0,0.0,22,Active
CONT102712,26707.1,24771.661538461536,23391.72,890.39,217.34153846153848,48.0,11.615384615384615,13,Active
CONT102713,2590.32,1449.14,238.55,0.0,0.0,0.0,0.0,12,Active
CONT102714,7410.46,6589.66,5912.26,583.68,159.09,50.0,16.90909090909091,11,Active
CONT102715,7418.26,6404.009166666667,5339.55,0.0,0.0,0.0,0.0,12,Active
CONT102716,6631.37,6404.5,6186.07,0.0,0.0,0.0,0.0,9,Active
CONT102717,21122.65,18782.760000000002,16428.72,0.0,0.0,0.0,0.0,10,Active
CONT102718,55644.9,52813.735714285714,51089.26,5250.32,965.3828571428572,129.0,24.071428571428573,14,NonAccrual
CONT102719,21204.6,20251.245714285713,19459.86,0.0,0.0,0.0,0.0,7,Active
CONT102720,18080.8,14125.555555555555,0.0,0.0,0.0,0.0,0.0,18,Closed
CONT102721,12308.32,12174.117142857143,12151.75,2403.82,1181.0857142857144,170.0,79.85714285714286,7,NonAccrual
CONT102722,12268.02,10841.783684210526,9496.46,1416.55,478.4889473684211,93.0,24.842105263157894,19,NonAccrual
CONT102723,19000.16,17704.22125,16271.32,0.0,0.0,0.0,0.0,16,Active
CONT102724,7916.2,6975.274583333333,7220.16,6963.09,2749.8362500000003,541.0,214.125,24,NonAccrual
CONT102725,4968.53,3998.1160000000004,2906.85,0.0,0.0,0.0,0.0,10,Active
CONT102726,6175.62,5697.0160000000005,5217.75,0.0,0.0,0.0,0.0,10,Active
CONT102727,4987.39,4497.97,3991.4,182.34,51.65642857142858,40.0,12.857142857142858,14,Active
CONT102728,27263.49,25921.684,24444.74,0.0,0.0,0.0,0.0,15,Active
CONT102729,25918.15,24603.93,23179.16,0.0,0.0,0.0,0.0,13,Active
CONT102730,8543.56,7060.048076923077,4976.08,492.8,106.90576923076924,49.0,12.423076923076923,26,Active
CONT102731,9178.52,8365.049166666666,7503.47,0.0,0.0,0.0,0.0,12,Active
CONT102732,12279.84,11689.095000000001,11081.34,0.0,0.0,0.0,0.0,6,Active
CONT102733,24701.52,24028.306666666667,23887.55,90.15,15.025,30.0,5.0,6,Active
CONT102734,14551.04,12892.459047619048,5810.53,4850.25,1183.3557142857144,324.0,81.71428571428571,21,NonAccrual
CONT102735,21474.63,20703.49857142857,19973.25,598.73,171.06571428571428,15.0,4.142857142857143,7,Active
CONT102736,24804.92,22331.207142857143,19610.15,0.0,0.0,0.0,0.0,14,Active
CONT102737,9529.0,9212.299200000001,9080.77,4427.2,1606.8676,526.0,182.72,25,NonAccrual
CONT102738,15812.0,11798.53653846154,6915.85,0.0,0.0,0.0,0.0,26,Active
CONT102739,9803.24,8472.383333333333,7724.6,1063.35,224.28777777777776,37.0,9.0,9,Active
CONT102740,9782.04,7882.214230769231,5572.26,0.0,0.0,0.0,0.0,26,Active
CONT102741,9531.91,9443.43,9356.25,11.72,3.9066666666666667,1.0,0.3333333333333333,3,Active
CONT102742,7371.37,6949.512222222222,0.0,7028.07,3323.287407407407,702.0,318.6296296296296,27,Closed
CONT102743,34757.07,29886.89782608696,24342.13,0.0,0.0,0.0,0.0,23,Active
CONT102744,13763.82,10427.391363636363,6272.31,533.41,24.24590909090909,31.0,1.4090909090909092,22,Active
CONT102745,75029.31,70972.81307692308,66609.28,0.0,0.0,0.0,0.0,13,Active
CONT102746,3790.41,3013.882727272727,2214.87,0.0,0.0,0.0,0.0,11,Active
CONT102747,8449.94,8139.8476190476185,8097.94,6038.97,2518.109523809524,545.0,227.33333333333334,21,NonAccrual
CONT102748,12364.13,12364.13,12364.13,0.0,0.0,0.0,0.0,1,Active
CONT102749,26090.72,24986.261000000002,23880.02,0.0,0.0,0.0,0.0,10,Active
CONT102750,5935.5,5386.611666666667,4825.67,0.0,0.0,0.0,0.0,6,Active
CONT102751,11800.47,11687.97,11575.47,0.0,0.0,0.0,0.0,2,Active
CONT102752,29760.84,27529.69785714286,25095.87,0.0,0.0,0.0,0.0,14,Active
CONT102753,6034.28,4044.9978260869566,1594.16,1202.56,381.61608695652177,117.0,33.78260869565217,23,NonAccrual
CONT102754,74354.98,69296.99857142857,65193.34,1846.45,131.8892857142857,3.0,0.21428571428571427,14,Active
CONT102755,24757.09,23815.671,22985.91,1091.54,415.04400000000004,40.0,9.2,10,Active
CONT102756,12771.02,10847.804545454546,0.0,447.74,154.12545454545455,35.0,13.727272727272727,11,Closed
CONT102757,38260.12,36508.713,34764.64,0.0,0.0,0.0,0.0,10,Active
