Application_ID,CRB Score,CRB Grade
C302104881,641,C
C302107369,667,B
C302105184,580,D
C302105184,595,D
C302104446,655,B
C302107425,627,C
C302106075,250,E
C302100707,673,B
C302103060,655,B
C302101134,702,A
C302104024,662,B
C302105059,628,C
C302104203,594,D
C302107953,250,E
C302102983,999,X
C302108337,618,C
C302105292,663,B
C302105534,583,D
C302105534,580,D
C302105534,604,D
C302102942,527,E
C302108051,650,B
C302105545,250,E
C302104587,639,C
C302101320,640,C
C302101320,585,D
C302100576,700,A
C302103470,708,A
C302106108,625,C
C302103574,653,B
C302100644,632,C
C302100644,662,B
C302106387,722,A
C302104098,603,D
C302109371,693,A
C302102555,666,B
C302106990,680,B
C302106516,595,D
C302104859,623,C
C302102903,666,B
C302104047,617,C
C302104084,601,D
C302108005,548,E
C302104748,641,C
C302100590,250,E
C302104880,657,B
C302108004,250,E
C302108488,999,X
C302101057,613,C
C302102281,646,C
C302104971,624,C
C302104971,621,C
C302104014,666,B
C302104014,664,B
C302104136,250,E
C302108243,639,C
C302103433,604,D
C302104142,661,B
C302106288,655,B
C302103723,628,C
C302107810,999,X
C302108261,250,E
C302106601,655,B
C302104949,687,A
C302102266,620,C
C302100535,615,C
C302100535,640,C
C302106395,606,D
C302107374,598,D
C302102271,629,C
C302102271,642,C
C302108418,250,E
C302103332,667,B
C302106229,646,C
C302102087,682,B
C302102087,703,A
C302104293,693,A
C302104147,627,C
C302106049,572,D
C302105113,652,B
C302108866,727,A
C302108866,721,A
C302108343,250,E
C302100303,628,C
C302107813,250,E
C302108690,702,A
C302108527,711,A
C302102972,740,A
C302107219,644,C
C302107219,692,A
C302104527,597,D
C302106643,620,C
C302107098,666,B
C302103853,603,D
C302100044,688,A
C302104488,645,C
C302102767,604,D
C302105477,250,E
C302105477,250,E
C302104320,250,E
C302103521,649,B
C302108175,704,A
C302100941,663,B
C302100941,645,C
C302102220,674,B
C302102342,694,A
C302105985,664,B
C302107312,653,B
C302105789,619,C
C302100286,635,C
C302100286,666,B
C302104149,599,D
C302106262,686,A
C302103539,663,B
C302107275,602,D
C302107275,586,D
C302101484,633,C
C302104269,593,D
C302103322,626,C
C302108665,663,B
C302100219,588,D
C302100219,645,C
C302105140,628,C
C302105115,657,B
C302105502,250,E
C302107118,612,C
C302108287,668,B
C302103151,585,D
C302103698,572,D
C302101629,663,B
C302101629,650,B
C302105895,691,A
C302105895,646,C
C302107568,250,E
C302105643,667,B
C302105622,572,D
C302100744,250,E
C302104339,605,D
C302104339,605,D
C302102979,620,C
C302102282,596,D
C302102282,604,D
C302104146,553,E
