Application_ID,Application_Date,Loan_Approval_Status,Age_at_Application,Marital_Status,Gender,Own_Rent_Home,Occupation_Professional_Category,Type_of_Business_Industry_of_Employment,Employment_Status,Time_at_Current_Employment_(Months),Number_of_Dependents,Loan_Purpose,Monthly_Income,Government_Employee,Marital_Status_Missing,Own_Rent_Home_Missing,Type_of_Business_Missing,Number_of_Dependents_Missing,Monthly_Income_Capped,Monthly_Income_Log,Employment_Time_Capped,Employment_Stability_Score,Age_Bin,Has_Dependents
C302102980,2017-12-28,Approved,29.0,Unmarried,Female,Rent,Professional,Civil Service,Full-Time,72.0,0.0,Debt Consolidation,3399.77,True,0,0,0,0,3399.77,8.131757155551895,72.0,0,Emerging,0
C302102981,2018-02-04,Approved,33.0,Unmarried,Female,Family,Clerical Support Worker,Business Process Outsourcing,Full-Time,16.0,2.0,Other,1483.39,False,0,0,0,0,1483.39,7.302759192435106,16.0,0,Emerging,1
C302102982,2018-01-28,Approved,24.0,Unmarried,Male,Family,Clerical Support Worker,Private Security Services,Contract,15.0,0.0,Debt Consolidation,2539.87,False,0,0,0,0,2539.87,7.840261821051145,15.0,0,Young,0
C302102983,2018-01-29,Approved,49.0,Married,Female,Own,Semi-Professional,Tourism,Contract,96.0,1.0,Home Improvement,9023.66,False,0,0,0,0,9023.66,9.107716109361236,96.0,0,Established,1
C302102984,2018-02-05,Approved,23.0,Unmarried,Male,Family,Blue Collar,Tourism,Full-Time,24.0,0.0,Home Improvement,1378.85,False,0,0,0,0,1378.85,7.2297300765912755,24.0,0,Young,0
C302102985,2018-02-05,Approved,27.0,Unmarried,Female,Rent,Officer,Private Security Services,Contract,33.0,1.0,Other,2016.41,False,0,0,0,0,2016.41,7.609569789483635,33.0,0,Emerging,1
C302102986,2018-02-06,Approved,23.0,Unmarried,Male,Family,Technician and Associate Professional,Construction & Installation,Full-Time,12.0,0.0,Home Improvement,1858.81,False,0,0,0,0,1858.81,7.5282296109518905,12.0,0,Young,0
C302102987,2018-02-05,Approved,27.0,Unmarried,Female,Rent,Blue Collar,Tourism,Contract,42.0,0.0,Other,1574.02,False,0,0,0,0,1574.02,7.362023249591807,42.0,0,Emerging,0
C302102988,2018-02-06,Approved,29.0,Unmarried,Male,Family,Service and Sales Worker,Unknown,Full-Time,45.0,0.0,Other,7854.63,False,0,0,1,0,7854.63,8.968985751165492,45.0,0,Emerging,0
C302102989,2018-01-22,Approved,26.0,Unmarried,Female,Family,Professional,Civil Service,Full-Time,32.0,0.0,Debt Consolidation,1290.28,False,0,0,0,0,1290.28,7.163389253465024,32.0,0,Emerging,0
C302102990,2018-02-06,Approved,25.0,Unmarried,Female,Family,Employee,Science & Technology,Full-Time,43.0,0.0,Other,2121.09,True,0,0,0,0,2121.09,7.660156731092626,43.0,0,Emerging,0
C302102991,2018-01-24,Approved,23.0,Unmarried,Female,Own,Officer,Civil Service,Full-Time,12.0,1.0,Education,1127.94,True,0,0,0,0,1127.94,7.029034418361896,12.0,0,Young,1
C302102992,2018-02-05,Approved,27.0,Unmarried,Male,Family,Officer,Financial,Full-Time,6.0,0.0,Other,2344.67,False,0,0,0,0,2344.67,7.76032635435754,6.0,0,Emerging,0
C302102993,2018-01-18,Approved,25.0,Unmarried,Male,Family,Armed Forces Occupation,Civil Service,Contract,39.0,0.0,Debt Consolidation,2903.26,True,0,0,0,0,2903.26,7.9739339036174055,39.0,0,Emerging,0
C302102994,2018-02-05,Approved,23.0,Unmarried,Female,Family,Professional,Tourism,Full-Time,16.0,1.0,Debt Consolidation,1719.42,False,0,0,0,0,1719.42,7.45032372604545,16.0,0,Young,1
C302102995,2018-01-30,Approved,27.0,Unmarried,Male,Rent,Professional,Civil Service,Full-Time,6.0,0.0,Debt Consolidation,11136.81,True,0,0,0,0,11136.81,9.31810090528621,6.0,0,Emerging,0
C302102996,2018-02-04,Approved,29.0,Unmarried,Female,Rent,Officer,Unknown,Full-Time,8.0,0.0,Debt Consolidation,6597.85,False,0,0,1,0,6597.85,8.7946506704083,8.0,0,Emerging,0
C302102997,2018-01-29,Approved,28.0,Unmarried,Female,Family,Blue Collar,Other,Full-Time,48.0,0.0,Home Improvement,2224.48,False,0,0,0,0,2224.48,7.707727901670976,48.0,0,Emerging,0
C302102998,2018-02-05,Approved,28.0,Unmarried,Male,Family,Employee,Distribution,Full-Time,65.0,0.0,Home Improvement,1187.37,False,0,0,0,0,1187.37,7.080337899244236,65.0,0,Emerging,0
C302102999,2018-01-23,Approved,24.0,Unmarried,Male,Family,Professional,Tourism,Full-Time,61.0,0.0,Home Improvement,1486.71,False,0,0,0,0,1486.71,7.3049933039259125,61.0,0,Young,0
C302103000,2018-01-08,Approved,45.0,Married,Female,Own,Professional,Civil Service,Full-Time,83.0,1.0,Other,2991.64,True,0,0,0,0,2991.64,8.00391121996354,83.0,0,Established,1
C302103001,2018-01-31,Approved,40.0,Married,Female,Rent,Professional,Education,Full-Time,39.0,2.0,Other,3774.15,True,0,0,0,0,3774.15,8.236195395993045,39.0,0,Established,1
C302103002,2018-01-31,Approved,28.0,Unmarried,Male,Family,Professional,Civil Service,Full-Time,12.0,0.0,Education,1056.97,False,0,0,0,0,1056.97,6.964107256628699,12.0,0,Emerging,0
C302103003,2018-02-04,Approved,26.0,Unmarried,Male,Own,Clerical Support Worker,Retailing,Full-Time,88.0,0.0,Other,1125.44,False,0,0,0,0,1125.44,7.026817496136901,88.0,0,Emerging,0
